photo/Fire training/消防演練-1(20011030).jpg,消防演練-1(20011030)
photo/Fire training/消防演練-2(20011030).jpg,消防演練-2(20011030)
photo/Fire training/消防演練-3(20011030).jpg,消防演練-3(20011030)
photo/Fire training/消防演練-4(20011030).jpg,消防演練-4(20011030)
